W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/surrogate-data-collection/runs/4rg2te4h
[monitor] 63,776/50,000,000 (0.1%) | FPS cur=36 roll=29 | ETA 470.5h | NaN=21 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 64,872/50,000,000 (0.1%) | FPS cur=37 roll=30 | ETA 469.0h | NaN=21 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 65,952/50,000,000 (0.1%) | FPS cur=36 roll=30 | ETA 467.6h | NaN=21 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 66,952/50,000,000 (0.1%) | FPS cur=33 roll=30 | ETA 466.9h | NaN=22 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 67,928/50,000,000 (0.1%) | FPS cur=33 roll=30 | ETA 466.3h | NaN=23 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 68,920/50,000,000 (0.1%) | FPS cur=33 roll=30 | ETA 465.6h | NaN=23 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 69,848/50,000,000 (0.1%) | FPS cur=31 roll=30 | ETA 465.4h | NaN=23 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 70,892/50,000,000 (0.1%) | FPS cur=35 roll=30 | ETA 464.4h | NaN=23 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 71,836/50,000,000 (0.1%) | FPS cur=31 roll=30 | ETA 464.1h | NaN=23 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 72,852/50,000,000 (0.1%) | FPS cur=34 roll=30 | ETA 463.3h | NaN=23 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 73,796/50,000,000 (0.1%) | FPS cur=31 roll=30 | ETA 463.1h | NaN=23 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 74,760/50,000,000 (0.1%) | FPS cur=32 roll=30 | ETA 462.7h | NaN=25 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 75,664/50,000,000 (0.2%) | FPS cur=30 roll=30 | ETA 462.6h | NaN=26 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 76,664/50,000,000 (0.2%) | FPS cur=33 roll=30 | ETA 462.0h | NaN=28 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 77,636/50,000,000 (0.2%) | FPS cur=32 roll=30 | ETA 461.6h | NaN=28 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 78,576/50,000,000 (0.2%) | FPS cur=31 roll=30 | ETA 461.4h | NaN=28 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 79,608/50,000,000 (0.2%) | FPS cur=34 roll=30 | ETA 460.6h | NaN=29 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 80,516/50,000,000 (0.2%) | FPS cur=30 roll=30 | ETA 460.6h | NaN=29 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 81,372/50,000,000 (0.2%) | FPS cur=29 roll=30 | ETA 460.9h | NaN=29 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 82,308/50,000,000 (0.2%) | FPS cur=31 roll=30 | ETA 460.7h | NaN=29 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 83,348/50,000,000 (0.2%) | FPS cur=35 roll=30 | ETA 459.9h | NaN=29 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 84,420/50,000,000 (0.2%) | FPS cur=36 roll=30 | ETA 459.0h | NaN=29 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 85,408/50,000,000 (0.2%) | FPS cur=33 roll=30 | ETA 458.6h | NaN=31 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 86,280/50,000,000 (0.2%) | FPS cur=29 roll=30 | ETA 458.8h | NaN=31 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 87,164/50,000,000 (0.2%) | FPS cur=29 roll=30 | ETA 458.9h | NaN=31 respawns=0 | disk 0.1GB used, 41.8GB free
[monitor] 88,144/50,000,000 (0.2%) | FPS cur=33 roll=30 | ETA 458.5h | NaN=31 respawns=0 | disk 0.1GB used, 41.8GB free
[monitor] 88,980/50,000,000 (0.2%) | FPS cur=28 roll=30 | ETA 458.9h | NaN=31 respawns=0 | disk 0.1GB used, 41.8GB free
[monitor] 89,804/50,000,000 (0.2%) | FPS cur=27 roll=30 | ETA 459.3h | NaN=32 respawns=0 | disk 0.1GB used, 41.8GB free
[monitor] 90,504/50,000,000 (0.2%) | FPS cur=23 roll=30 | ETA 460.3h | NaN=32 respawns=0 | disk 0.1GB used, 41.8GB free
[monitor] 91,240/50,000,000 (0.2%) | FPS cur=25 roll=30 | ETA 461.2h | NaN=33 respawns=0 | disk 0.1GB used, 41.8GB free
[monitor] 92,068/50,000,000 (0.2%) | FPS cur=27 roll=30 | ETA 461.6h | NaN=33 respawns=0 | disk 0.1GB used, 41.8GB free
[monitor] 92,940/50,000,000 (0.2%) | FPS cur=29 roll=30 | ETA 461.7h | NaN=33 respawns=0 | disk 0.1GB used, 41.8GB free
