W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/snake-surrogate-data/runs/03jdvkk9
[monitor] 95,778/50,000,000 (0.2%) | FPS cur=48 roll=45 | ETA 309.0h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 97,282/50,000,000 (0.2%) | FPS cur=50 roll=45 | ETA 308.6h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 98,857/50,000,000 (0.2%) | FPS cur=52 roll=45 | ETA 307.9h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 100,410/50,000,000 (0.2%) | FPS cur=52 roll=45 | ETA 307.2h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 101,955/50,000,000 (0.2%) | FPS cur=51 roll=45 | ETA 306.7h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 103,495/50,000,000 (0.2%) | FPS cur=51 roll=45 | ETA 306.1h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 104,970/50,000,000 (0.2%) | FPS cur=49 roll=45 | ETA 305.8h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 106,382/50,000,000 (0.2%) | FPS cur=47 roll=45 | ETA 305.7h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 107,799/50,000,000 (0.2%) | FPS cur=47 roll=45 | ETA 305.5h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 109,333/50,000,000 (0.2%) | FPS cur=51 roll=45 | ETA 305.0h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 110,833/50,000,000 (0.2%) | FPS cur=50 roll=45 | ETA 304.6h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 112,443/50,000,000 (0.2%) | FPS cur=53 roll=46 | ETA 304.0h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 113,949/50,000,000 (0.2%) | FPS cur=50 roll=46 | ETA 303.6h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 115,286/50,000,000 (0.2%) | FPS cur=45 roll=46 | ETA 303.7h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
[monitor] 116,611/50,000,000 (0.2%) | FPS cur=44 roll=46 | ETA 303.8h | NaN=0 respawns=0 | disk 0.2GB used, 41.2GB free
