W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/surrogate-data-collection/runs/i2g89uny
[monitor] 128,000/1,000,000 (12.8%) | FPS cur=67 roll=55 | ETA 4.4h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 128,000/1,000,000 (12.8%) | FPS cur=0 roll=54 | ETA 4.5h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 129,500/1,000,000 (13.0%) | FPS cur=50 roll=54 | ETA 4.5h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 133,500/1,000,000 (13.4%) | FPS cur=133 roll=55 | ETA 4.4h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 134,000/1,000,000 (13.4%) | FPS cur=17 roll=54 | ETA 4.4h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 136,000/1,000,000 (13.6%) | FPS cur=67 roll=55 | ETA 4.4h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 136,500/1,000,000 (13.7%) | FPS cur=17 roll=54 | ETA 4.4h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 138,500/1,000,000 (13.9%) | FPS cur=67 roll=54 | ETA 4.4h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 141,000/1,000,000 (14.1%) | FPS cur=83 roll=55 | ETA 4.4h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 143,000/1,000,000 (14.3%) | FPS cur=67 roll=55 | ETA 4.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 144,500/1,000,000 (14.4%) | FPS cur=50 roll=55 | ETA 4.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 145,500/1,000,000 (14.5%) | FPS cur=33 roll=54 | ETA 4.4h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 147,000/1,000,000 (14.7%) | FPS cur=50 roll=54 | ETA 4.4h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 149,500/1,000,000 (14.9%) | FPS cur=83 roll=55 | ETA 4.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 151,500/1,000,000 (15.2%) | FPS cur=67 roll=55 | ETA 4.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 152,000/1,000,000 (15.2%) | FPS cur=17 roll=54 | ETA 4.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 154,500/1,000,000 (15.4%) | FPS cur=83 roll=55 | ETA 4.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 157,000/1,000,000 (15.7%) | FPS cur=83 roll=55 | ETA 4.3h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 159,000/1,000,000 (15.9%) | FPS cur=67 roll=55 | ETA 4.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 160,000/1,000,000 (16.0%) | FPS cur=33 roll=55 | ETA 4.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 161,500/1,000,000 (16.2%) | FPS cur=50 roll=55 | ETA 4.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 163,000/1,000,000 (16.3%) | FPS cur=50 roll=55 | ETA 4.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 165,500/1,000,000 (16.6%) | FPS cur=83 roll=55 | ETA 4.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 167,000/1,000,000 (16.7%) | FPS cur=50 roll=55 | ETA 4.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 169,000/1,000,000 (16.9%) | FPS cur=67 roll=55 | ETA 4.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 170,000/1,000,000 (17.0%) | FPS cur=33 roll=55 | ETA 4.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 171,500/1,000,000 (17.2%) | FPS cur=50 roll=55 | ETA 4.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 174,500/1,000,000 (17.4%) | FPS cur=100 roll=55 | ETA 4.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 174,500/1,000,000 (17.4%) | FPS cur=0 roll=55 | ETA 4.2h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 177,500/1,000,000 (17.8%) | FPS cur=100 roll=55 | ETA 4.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 178,500/1,000,000 (17.8%) | FPS cur=33 roll=55 | ETA 4.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 182,000/1,000,000 (18.2%) | FPS cur=117 roll=56 | ETA 4.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 182,500/1,000,000 (18.2%) | FPS cur=17 roll=55 | ETA 4.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 183,000/1,000,000 (18.3%) | FPS cur=17 roll=55 | ETA 4.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 185,500/1,000,000 (18.6%) | FPS cur=83 roll=55 | ETA 4.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 188,500/1,000,000 (18.9%) | FPS cur=100 roll=56 | ETA 4.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 190,000/1,000,000 (19.0%) | FPS cur=50 roll=56 | ETA 4.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 190,500/1,000,000 (19.1%) | FPS cur=17 roll=55 | ETA 4.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 192,000/1,000,000 (19.2%) | FPS cur=50 roll=55 | ETA 4.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 194,500/1,000,000 (19.4%) | FPS cur=83 roll=55 | ETA 4.0h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 197,000/1,000,000 (19.7%) | FPS cur=83 roll=56 | ETA 4.0h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 198,500/1,000,000 (19.9%) | FPS cur=50 roll=56 | ETA 4.0h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 198,500/1,000,000 (19.9%) | FPS cur=0 roll=55 | ETA 4.0h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 201,000/1,000,000 (20.1%) | FPS cur=83 roll=55 | ETA 4.0h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 203,000/1,000,000 (20.3%) | FPS cur=67 roll=55 | ETA 4.0h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 204,500/1,000,000 (20.4%) | FPS cur=50 roll=55 | ETA 4.0h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 206,000/1,000,000 (20.6%) | FPS cur=50 roll=55 | ETA 4.0h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 207,500/1,000,000 (20.8%) | FPS cur=50 roll=55 | ETA 4.0h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 209,000/1,000,000 (20.9%) | FPS cur=50 roll=55 | ETA 4.0h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 211,000/1,000,000 (21.1%) | FPS cur=67 roll=55 | ETA 4.0h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 213,500/1,000,000 (21.3%) | FPS cur=83 roll=56 | ETA 3.9h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
